Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,17,5,Animation and Multimedia Design,daytime,1,122.0,1,19,Other - 11th Year,5,Unskilled Workers,127.3,1,0,0,1,male,no,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,15,1,Tourism,daytime,1,160.0,1,1,Higher Education - Degree,3,Intermediate Level Technicians,142.5,1,0,0,0,male,no,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
single,1,5,Communication Design,daytime,1,122.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,124.8,1,0,0,0,male,no,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,17,2,Journalism and Communication,daytime,1,122.0,1,38,Basic Education 1st Cycle (4th–5th Year),5,Intermediate Level Technicians,119.6,1,0,0,1,female,no,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
married,39,1,Social Service (evening attendance),evening,1,100.0,1,37,Basic Education 2nd Cycle (6th–8th Year),9,Unskilled Workers,141.5,0,0,0,1,female,no,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
married,39,1,Management (evening attendance),evening,19,133.1,1,37,Basic Education 1st Cycle (4th–5th Year),9,Skilled Industry and Construction Workers,114.8,0,0,1,1,male,no,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
single,1,1,Nursing,daytime,1,142.0,1,19,Basic Education 2nd Cycle (6th–8th Year),7,Armed Forces Professions,128.4,1,0,0,1,female,yes,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
single,18,4,Tourism,daytime,1,119.0,1,37,Basic Education 1st Cycle (4th–5th Year),9,Unskilled Workers,113.1,1,0,0,0,male,no,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
single,1,3,Social Service,daytime,1,137.0,62,1,Secondary Education - 12th Year or Eq.,9,Unskilled Workers,129.3,0,0,0,1,female,yes,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate
single,1,1,Social Service,daytime,1,138.0,1,1,Basic Education 3rd Cycle (9th–11th Year),4,Skilled Industry and Construction Workers,123.0,1,0,1,0,female,no,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
